price_list,address,home_stat
"$779,000","251 Jarvis St #4310, Toronto, ON M5B 0C3",3 Beds2 Baths—Sq. Ft.
"$8,500,000","368-374 Spadina Ave, Toronto, ON M5T 2G4","—Beds—Baths4,444 Sq. Ft."
"$639,900","255 Richmond St E #625, Toronto, ON M5A 4T7",1 Bed1 Bath—Sq. Ft.
"$1,048,800","32 Lamberton Blvd, Toronto, ON M3J 1G5",3 + 1 Beds2 Baths—Sq. Ft.
"$484,900","101 Prudential Dr #1212, Toronto, ON M1P 4S5",1 + 1 Bed1 Bath—Sq. Ft.
"$2,150,000","42 Gatehead Rd, Toronto, ON M2J 2P5",5 Beds2.5 Baths—Sq. Ft.
"$1,349,000","10 Tacoma Ave, Toronto, ON M4T 2B2",3 Beds1.5 Baths—Sq. Ft.
"$510,000","30 Tretti Way #1022, Toronto, ON M3H 0E3",1 Bed1 Bath—Sq. Ft.
"$4,388,000","1 Edgewater Dr Unit Sph18, Toronto, ON M5A 1B9",2 Beds3 Baths—Sq. Ft.
"$1,399,000","1926 Lakeshore Blvd W #1910, Toronto, ON M6S 0B1",2 Beds2.5 Baths—Sq. Ft.
"$779,000","251 Jarvis St #4310, Toronto, ON M5B 0C3",2 + 1 Beds2 Baths—Sq. Ft.
"$799,900","1 The Espl #3202, Toronto, ON M5E 0A8",2 Beds2 Baths—Sq. Ft.
"$899,000","1800 Queen St E, Toronto, ON M4M 1G6",3 Beds1 Bath—Sq. Ft.
"$2,195,000","370 Cleveland St, Toronto, ON M4S 2W9",3 Beds3 Baths—Sq. Ft.
"$599,900","955 Queen St W #421, Toronto, ON M6J 1G9",0 + 1 Beds1 Bath—Sq. Ft.
"$2,799,000","1 Yorkville Ave Ph 06, Toronto, ON M4W 1L1",2 + 1 Beds2.5 Baths—Sq. Ft.
"$489,000","61 Markbrook Lane #414, Toronto, ON M9V 5E7",1 + 1 Bed1.5 Baths—Sq. Ft.
"$1,890,000","58 Glen Echo Rd, Toronto, ON M4N 2E3",3 Beds2 Baths—Sq. Ft.
"$879,000","23 Dubray Ave, Toronto, ON M3K 1V6",3 Beds1.5 Baths—Sq. Ft.
"$759,000","113 Wild Briarway Way, Toronto, ON M2J 2L5",3 Beds1.5 Baths—Sq. Ft.
"$2,479,000","15 Norlong Blvd, Toronto, ON M4C 3W5",4 + 2 Beds3.5 Baths—Sq. Ft.
"$3,995,000","461 Douglas Ave, Toronto, ON M5M 1H6",5 + 1 Beds6 Baths—Sq. Ft.
"$999,000","495 Jane St, Toronto, ON M6S 4A1",2 + 2 Beds2 Baths—Sq. Ft.
"$599,900","120 Harrison Garden Blvd #1405, Toronto, ON M2N 0H1",1 + 1 Bed1 Bath—Sq. Ft.
"$2,968,800","313 Oriole Pky, Toronto, ON M5P 2H6",5 Beds4.5 Baths—Sq. Ft.
"$689,000","15 Michael Power Pl #307, Toronto, ON M9A 5G4",2 + 1 Beds2 Baths—Sq. Ft.
"$597,500","12 Bonnycastle St #812, Toronto, ON M5A 0C8",1 Bed1 Bath—Sq. Ft.
"$829,900","1029 King St W #403, Toronto, ON M6K 3M9",2 Beds2 Baths—Sq. Ft.
"$1,780,000","196 Glenvale Blvd, Toronto, ON M4G 2W6",2 + 1 Beds2 Baths—Sq. Ft.
"$898,800","127 Grandravine Dr, Toronto, ON M3J 1B3",3 Beds2 Baths—Sq. Ft.
"$799,900","111 St Clair Ave W #319, Toronto, ON M4V 1N5",2 Beds2 Baths—Sq. Ft.
"$899,999","636 Evans Ave #65, Toronto, ON M8W 0A8",3 Beds2.5 Baths—Sq. Ft.
"$1,199,000","33 Parkway Ave, Toronto, ON M6R 1T6",5 Beds2 Baths—Sq. Ft.
"$699,000","48 Truro Cres, Toronto, ON M1V 2H8",3 Beds1.5 Baths—Sq. Ft.
"$599,000","3091 Dufferin St #411, Toronto, ON M6A 0C4",1 Bed1 Bath—Sq. Ft.
"$849,000","40 Sylvan Valleyway #504, Toronto, ON M5M 4M3",2 Beds2 Baths—Sq. Ft.
"$539,999","1420 DUPONT St Unit 309, Toronto, ON M6H 0C2",2 Beds2 Baths575 Sq. Ft.
"$2,500,000","374 Spadina Ave, Toronto, ON M5T 2G4","—Beds—Baths1,505 Sq. Ft."
"$674,900","17 Coneflower Cres #217, Toronto, ON M2R 0A5",2 Beds1.5 Baths—Sq. Ft.
"$658,000","151 Village Green Sq #2306, Toronto, ON M1S 0K5",2 + 1 Beds2 Baths—Sq. Ft.
"$999,900","26 Goswell Rd, Toronto, ON M9B 1W7",4 Beds2 Baths—Sq. Ft.
"$799,000","65 Osler St, Toronto, ON M6P 4A1",3 + 1 Beds1.5 Baths—Sq. Ft.
"$415,900","36 Lisgar St Unit 827E, Toronto, ON M6J 0C7",1 Bed1 Bath—Sq. Ft.
"$535,000","10 Gibbs Rd #1015, Toronto, ON M9B 0E2",1 Bed1 Bath—Sq. Ft.
"$1,399,000","175 Grandravine Dr, Toronto, ON M3J 1B6",3 + 1 Beds3 Baths—Sq. Ft.
"$1,699,000","1166 Bay St #2003, Toronto, ON M5S 2X8",2 Beds2 Baths—Sq. Ft.
"$1,088,000","3 Redcastle Cres, Toronto, ON M1T 1V2",4 Beds1.5 Baths—Sq. Ft.
"$599,900","18 Yonge St #1206, Toronto, ON M5E 1Z8",1 Bed1 Bath—Sq. Ft.
"$664,900","15 Maplewood Ave Ph 1, Toronto, ON M6C 4B4",1 + 1 Bed2 Baths—Sq. Ft.
"$1,650,000","230 Willow Ave, Toronto, ON M4E 3K7",3 + 1 Beds3 Baths—Sq. Ft.
"$2,880,000","1 Chedington Pl Unit 8D, Toronto, ON M4N 3R4",2 Beds3.5 Baths—Sq. Ft.
"$1,339,000","11 Rowallan Dr, Toronto, ON M1E 2Y5",4 + 1 Beds2.5 Baths—Sq. Ft.
"$4,399,950","71 Yorkview Dr, Toronto, ON M2R 1J7",4 + 1 Beds6.5 Baths—Sq. Ft.
"$2,195,000","495 Prince Edward Dr, Toronto, ON M8X 2M4",3 Beds3.5 Baths—Sq. Ft.
"$499,990","840 Queens Plate Dr #1310, Toronto, ON M9W 7J9",1 + 1 Bed2 Baths—Sq. Ft.
"$1,699,000","75 O'hara Ave, Toronto, ON M6K 2R3",4 + 1 Beds3 Baths—Sq. Ft.
"$1,049,000","15 Queens Quay E #1602, Toronto, ON M5E 0C5",2 Beds1 Bath—Sq. Ft.
"$1,368,000","107 Frederick Tisdale Dr, Toronto, ON M3K 1X1",5 + 1 Beds5.5 Baths—Sq. Ft.
"$699,999","10 Park Lawn Rd #3904, Toronto, ON M8Y 3H8",2 Beds2 Baths—Sq. Ft.
"$1,288,000","110 Clovelly Ave, Toronto, ON M6E 2E6",4 + 1 Beds5.5 Baths—Sq. Ft.
"$934,900","464 Rhodes Ave, Toronto, ON M4L 3A5",2 + 1 Beds2 Baths—Sq. Ft.
"$829,000","20 Minowan Miikan Lane #1118, Toronto, ON M6J 1M3",2 Beds2 Baths—Sq. Ft.
"$599,000","70 Distillery Lane #604, Toronto, ON M5A 0E3",1 Bed1 Bath—Sq. Ft.
"$524,900","88 Corporate Dr #515, Toronto, ON M1H 3G6",1 + 1 Bed1 Bath—Sq. Ft.
"$580,000","380 Dixon Rd #705, Toronto, ON M9R 1T3",2 Beds1 Bath—Sq. Ft.
"$2,098,800","35 Roslin Ave, Toronto, ON M4N 1Y8",3 Beds3 Baths—Sq. Ft.
"$499,000","159 Wellesley St E #2510, Toronto, ON M4Y 0H5",1 Bed1 Bath—Sq. Ft.
"$644,900","161 Roehampton Ave #2001, Toronto, ON M4P 0C8",1 + 1 Bed1 Bath—Sq. Ft.
"$2,900,000","187 Rathburn Rd, Toronto, ON M9B 2L5",4 + 1 Beds4.5 Baths—Sq. Ft.
"$1,049,000","44 Frater Ave, Toronto, ON M4C 2H6",2 + 2 Beds2 Baths—Sq. Ft.
"$978,000","30 Gibbs Rd #104, Toronto, ON M9B 0E4",3 + 1 Beds2.5 Baths—Sq. Ft.
"$995,000","50 Dewhurst Blvd, Toronto, ON M4J 3H9",3 + 1 Beds2 Baths—Sq. Ft.
"$1,149,900","230 King St E Ph 18, Toronto, ON M5A 1K5",2 + 1 Beds2 Baths—Sq. Ft.
"$680,000","290 Adelaide St W #2907, Toronto, ON M5V 1P6",1 + 1 Bed1 Bath—Sq. Ft.
"$464,900","10 Martha Eaton Way #507, Toronto, ON M6M 5B3",2 Beds1.5 Baths—Sq. Ft.
"$599,900","159 Wellesley St E #1705, Toronto, ON M4Y 0H5",1 Bed1 Bath—Sq. Ft.
"$489,000","16 Dallimore Circ #718, Toronto, ON M3C 4C4",2 + 1 Beds2 Baths—Sq. Ft.
"$1,888,000","232 Willow Ave, Toronto, ON M4E 3K7",3 Beds4 Baths—Sq. Ft.
"$839,900","75 York Mills Rd #208, Toronto, ON M2P 2E7",2 Beds2 Baths—Sq. Ft.
"$995,000","77 Dentonia Park Ave, Toronto, ON M4C 1X1",3 Beds2 Baths—Sq. Ft.
"$779,000","251 Jarvis St #4310, Toronto, ON M5B 0C3",3 Beds2 Baths—Sq. Ft.
"$8,500,000","368-374 Spadina Ave, Toronto, ON M5T 2G4","—Beds—Baths4,444 Sq. Ft."
"$639,900","255 Richmond St E #625, Toronto, ON M5A 4T7",1 Bed1 Bath—Sq. Ft.
"$1,048,800","32 Lamberton Blvd, Toronto, ON M3J 1G5",3 + 1 Beds2 Baths—Sq. Ft.
"$484,900","101 Prudential Dr #1212, Toronto, ON M1P 4S5",1 + 1 Bed1 Bath—Sq. Ft.
"$2,150,000","42 Gatehead Rd, Toronto, ON M2J 2P5",5 Beds2.5 Baths—Sq. Ft.
"$1,349,000","10 Tacoma Ave, Toronto, ON M4T 2B2",3 Beds1.5 Baths—Sq. Ft.
"$510,000","30 Tretti Way #1022, Toronto, ON M3H 0E3",1 Bed1 Bath—Sq. Ft.
"$4,388,000","1 Edgewater Dr Unit Sph18, Toronto, ON M5A 1B9",2 Beds3 Baths—Sq. Ft.
"$1,399,000","1926 Lakeshore Blvd W #1910, Toronto, ON M6S 0B1",2 Beds2.5 Baths—Sq. Ft.
"$779,000","251 Jarvis St #4310, Toronto, ON M5B 0C3",2 + 1 Beds2 Baths—Sq. Ft.
"$799,900","1 The Espl #3202, Toronto, ON M5E 0A8",2 Beds2 Baths—Sq. Ft.
"$899,000","1800 Queen St E, Toronto, ON M4M 1G6",3 Beds1 Bath—Sq. Ft.
"$2,195,000","370 Cleveland St, Toronto, ON M4S 2W9",3 Beds3 Baths—Sq. Ft.
"$599,900","955 Queen St W #421, Toronto, ON M6J 1G9",0 + 1 Beds1 Bath—Sq. Ft.
"$2,799,000","1 Yorkville Ave Ph 06, Toronto, ON M4W 1L1",2 + 1 Beds2.5 Baths—Sq. Ft.
"$489,000","61 Markbrook Lane #414, Toronto, ON M9V 5E7",1 + 1 Bed1.5 Baths—Sq. Ft.
"$1,890,000","58 Glen Echo Rd, Toronto, ON M4N 2E3",3 Beds2 Baths—Sq. Ft.
"$879,000","23 Dubray Ave, Toronto, ON M3K 1V6",3 Beds1.5 Baths—Sq. Ft.
"$759,000","113 Wild Briarway Way, Toronto, ON M2J 2L5",3 Beds1.5 Baths—Sq. Ft.
"$2,479,000","15 Norlong Blvd, Toronto, ON M4C 3W5",4 + 2 Beds3.5 Baths—Sq. Ft.
"$3,995,000","461 Douglas Ave, Toronto, ON M5M 1H6",5 + 1 Beds6 Baths—Sq. Ft.
"$999,000","495 Jane St, Toronto, ON M6S 4A1",2 + 2 Beds2 Baths—Sq. Ft.
"$599,900","120 Harrison Garden Blvd #1405, Toronto, ON M2N 0H1",1 + 1 Bed1 Bath—Sq. Ft.
"$2,968,800","313 Oriole Pky, Toronto, ON M5P 2H6",5 Beds4.5 Baths—Sq. Ft.
"$689,000","15 Michael Power Pl #307, Toronto, ON M9A 5G4",2 + 1 Beds2 Baths—Sq. Ft.
"$597,500","12 Bonnycastle St #812, Toronto, ON M5A 0C8",1 Bed1 Bath—Sq. Ft.
"$829,900","1029 King St W #403, Toronto, ON M6K 3M9",2 Beds2 Baths—Sq. Ft.
"$1,780,000","196 Glenvale Blvd, Toronto, ON M4G 2W6",2 + 1 Beds2 Baths—Sq. Ft.
"$898,800","127 Grandravine Dr, Toronto, ON M3J 1B3",3 Beds2 Baths—Sq. Ft.
"$799,900","111 St Clair Ave W #319, Toronto, ON M4V 1N5",2 Beds2 Baths—Sq. Ft.
"$899,999","636 Evans Ave #65, Toronto, ON M8W 0A8",3 Beds2.5 Baths—Sq. Ft.
"$1,199,000","33 Parkway Ave, Toronto, ON M6R 1T6",5 Beds2 Baths—Sq. Ft.
"$699,000","48 Truro Cres, Toronto, ON M1V 2H8",3 Beds1.5 Baths—Sq. Ft.
"$599,000","3091 Dufferin St #411, Toronto, ON M6A 0C4",1 Bed1 Bath—Sq. Ft.
"$849,000","40 Sylvan Valleyway #504, Toronto, ON M5M 4M3",2 Beds2 Baths—Sq. Ft.
"$539,999","1420 DUPONT St Unit 309, Toronto, ON M6H 0C2",2 Beds2 Baths575 Sq. Ft.
"$2,500,000","374 Spadina Ave, Toronto, ON M5T 2G4","—Beds—Baths1,505 Sq. Ft."
"$674,900","17 Coneflower Cres #217, Toronto, ON M2R 0A5",2 Beds1.5 Baths—Sq. Ft.
"$658,000","151 Village Green Sq #2306, Toronto, ON M1S 0K5",2 + 1 Beds2 Baths—Sq. Ft.
"$999,900","26 Goswell Rd, Toronto, ON M9B 1W7",4 Beds2 Baths—Sq. Ft.
"$799,000","65 Osler St, Toronto, ON M6P 4A1",3 + 1 Beds1.5 Baths—Sq. Ft.
"$415,900","36 Lisgar St Unit 827E, Toronto, ON M6J 0C7",1 Bed1 Bath—Sq. Ft.
"$535,000","10 Gibbs Rd #1015, Toronto, ON M9B 0E2",1 Bed1 Bath—Sq. Ft.
"$1,399,000","175 Grandravine Dr, Toronto, ON M3J 1B6",3 + 1 Beds3 Baths—Sq. Ft.
"$1,699,000","1166 Bay St #2003, Toronto, ON M5S 2X8",2 Beds2 Baths—Sq. Ft.
"$1,088,000","3 Redcastle Cres, Toronto, ON M1T 1V2",4 Beds1.5 Baths—Sq. Ft.
"$599,900","18 Yonge St #1206, Toronto, ON M5E 1Z8",1 Bed1 Bath—Sq. Ft.
"$664,900","15 Maplewood Ave Ph 1, Toronto, ON M6C 4B4",1 + 1 Bed2 Baths—Sq. Ft.
"$1,650,000","230 Willow Ave, Toronto, ON M4E 3K7",3 + 1 Beds3 Baths—Sq. Ft.
"$2,880,000","1 Chedington Pl Unit 8D, Toronto, ON M4N 3R4",2 Beds3.5 Baths—Sq. Ft.
"$1,339,000","11 Rowallan Dr, Toronto, ON M1E 2Y5",4 + 1 Beds2.5 Baths—Sq. Ft.
"$4,399,950","71 Yorkview Dr, Toronto, ON M2R 1J7",4 + 1 Beds6.5 Baths—Sq. Ft.
"$2,195,000","495 Prince Edward Dr, Toronto, ON M8X 2M4",3 Beds3.5 Baths—Sq. Ft.
"$499,990","840 Queens Plate Dr #1310, Toronto, ON M9W 7J9",1 + 1 Bed2 Baths—Sq. Ft.
"$1,699,000","75 O'hara Ave, Toronto, ON M6K 2R3",4 + 1 Beds3 Baths—Sq. Ft.
"$1,049,000","15 Queens Quay E #1602, Toronto, ON M5E 0C5",2 Beds1 Bath—Sq. Ft.
"$1,368,000","107 Frederick Tisdale Dr, Toronto, ON M3K 1X1",5 + 1 Beds5.5 Baths—Sq. Ft.
"$699,999","10 Park Lawn Rd #3904, Toronto, ON M8Y 3H8",2 Beds2 Baths—Sq. Ft.
"$1,288,000","110 Clovelly Ave, Toronto, ON M6E 2E6",4 + 1 Beds5.5 Baths—Sq. Ft.
"$934,900","464 Rhodes Ave, Toronto, ON M4L 3A5",2 + 1 Beds2 Baths—Sq. Ft.
"$829,000","20 Minowan Miikan Lane #1118, Toronto, ON M6J 1M3",2 Beds2 Baths—Sq. Ft.
"$599,000","70 Distillery Lane #604, Toronto, ON M5A 0E3",1 Bed1 Bath—Sq. Ft.
"$524,900","88 Corporate Dr #515, Toronto, ON M1H 3G6",1 + 1 Bed1 Bath—Sq. Ft.
"$580,000","380 Dixon Rd #705, Toronto, ON M9R 1T3",2 Beds1 Bath—Sq. Ft.
"$2,098,800","35 Roslin Ave, Toronto, ON M4N 1Y8",3 Beds3 Baths—Sq. Ft.
"$499,000","159 Wellesley St E #2510, Toronto, ON M4Y 0H5",1 Bed1 Bath—Sq. Ft.
"$644,900","161 Roehampton Ave #2001, Toronto, ON M4P 0C8",1 + 1 Bed1 Bath—Sq. Ft.
"$2,900,000","187 Rathburn Rd, Toronto, ON M9B 2L5",4 + 1 Beds4.5 Baths—Sq. Ft.
"$1,049,000","44 Frater Ave, Toronto, ON M4C 2H6",2 + 2 Beds2 Baths—Sq. Ft.
"$978,000","30 Gibbs Rd #104, Toronto, ON M9B 0E4",3 + 1 Beds2.5 Baths—Sq. Ft.
"$995,000","50 Dewhurst Blvd, Toronto, ON M4J 3H9",3 + 1 Beds2 Baths—Sq. Ft.
"$1,149,900","230 King St E Ph 18, Toronto, ON M5A 1K5",2 + 1 Beds2 Baths—Sq. Ft.
"$680,000","290 Adelaide St W #2907, Toronto, ON M5V 1P6",1 + 1 Bed1 Bath—Sq. Ft.
"$464,900","10 Martha Eaton Way #507, Toronto, ON M6M 5B3",2 Beds1.5 Baths—Sq. Ft.
"$599,900","159 Wellesley St E #1705, Toronto, ON M4Y 0H5",1 Bed1 Bath—Sq. Ft.
"$489,000","16 Dallimore Circ #718, Toronto, ON M3C 4C4",2 + 1 Beds2 Baths—Sq. Ft.
"$1,888,000","232 Willow Ave, Toronto, ON M4E 3K7",3 Beds4 Baths—Sq. Ft.
"$839,900","75 York Mills Rd #208, Toronto, ON M2P 2E7",2 Beds2 Baths—Sq. Ft.
"$995,000","77 Dentonia Park Ave, Toronto, ON M4C 1X1",3 Beds2 Baths—Sq. Ft.
"$779,000","251 Jarvis St #4310, Toronto, ON M5B 0C3",3 Beds2 Baths—Sq. Ft.
"$8,500,000","368-374 Spadina Ave, Toronto, ON M5T 2G4","—Beds—Baths4,444 Sq. Ft."
"$639,900","255 Richmond St E #625, Toronto, ON M5A 4T7",1 Bed1 Bath—Sq. Ft.
"$1,048,800","32 Lamberton Blvd, Toronto, ON M3J 1G5",3 + 1 Beds2 Baths—Sq. Ft.
"$484,900","101 Prudential Dr #1212, Toronto, ON M1P 4S5",1 + 1 Bed1 Bath—Sq. Ft.
"$2,150,000","42 Gatehead Rd, Toronto, ON M2J 2P5",5 Beds2.5 Baths—Sq. Ft.
"$1,349,000","10 Tacoma Ave, Toronto, ON M4T 2B2",3 Beds1.5 Baths—Sq. Ft.
"$510,000","30 Tretti Way #1022, Toronto, ON M3H 0E3",1 Bed1 Bath—Sq. Ft.
"$4,388,000","1 Edgewater Dr Unit Sph18, Toronto, ON M5A 1B9",2 Beds3 Baths—Sq. Ft.
"$1,399,000","1926 Lakeshore Blvd W #1910, Toronto, ON M6S 0B1",2 Beds2.5 Baths—Sq. Ft.
"$779,000","251 Jarvis St #4310, Toronto, ON M5B 0C3",2 + 1 Beds2 Baths—Sq. Ft.
"$799,900","1 The Espl #3202, Toronto, ON M5E 0A8",2 Beds2 Baths—Sq. Ft.
"$899,000","1800 Queen St E, Toronto, ON M4M 1G6",3 Beds1 Bath—Sq. Ft.
"$2,195,000","370 Cleveland St, Toronto, ON M4S 2W9",3 Beds3 Baths—Sq. Ft.
"$599,900","955 Queen St W #421, Toronto, ON M6J 1G9",0 + 1 Beds1 Bath—Sq. Ft.
"$2,799,000","1 Yorkville Ave Ph 06, Toronto, ON M4W 1L1",2 + 1 Beds2.5 Baths—Sq. Ft.
"$489,000","61 Markbrook Lane #414, Toronto, ON M9V 5E7",1 + 1 Bed1.5 Baths—Sq. Ft.
"$1,890,000","58 Glen Echo Rd, Toronto, ON M4N 2E3",3 Beds2 Baths—Sq. Ft.
"$879,000","23 Dubray Ave, Toronto, ON M3K 1V6",3 Beds1.5 Baths—Sq. Ft.
"$759,000","113 Wild Briarway Way, Toronto, ON M2J 2L5",3 Beds1.5 Baths—Sq. Ft.
"$2,479,000","15 Norlong Blvd, Toronto, ON M4C 3W5",4 + 2 Beds3.5 Baths—Sq. Ft.
"$3,995,000","461 Douglas Ave, Toronto, ON M5M 1H6",5 + 1 Beds6 Baths—Sq. Ft.
"$999,000","495 Jane St, Toronto, ON M6S 4A1",2 + 2 Beds2 Baths—Sq. Ft.
"$599,900","120 Harrison Garden Blvd #1405, Toronto, ON M2N 0H1",1 + 1 Bed1 Bath—Sq. Ft.
"$2,968,800","313 Oriole Pky, Toronto, ON M5P 2H6",5 Beds4.5 Baths—Sq. Ft.
"$689,000","15 Michael Power Pl #307, Toronto, ON M9A 5G4",2 + 1 Beds2 Baths—Sq. Ft.
"$597,500","12 Bonnycastle St #812, Toronto, ON M5A 0C8",1 Bed1 Bath—Sq. Ft.
"$829,900","1029 King St W #403, Toronto, ON M6K 3M9",2 Beds2 Baths—Sq. Ft.
"$1,780,000","196 Glenvale Blvd, Toronto, ON M4G 2W6",2 + 1 Beds2 Baths—Sq. Ft.
"$898,800","127 Grandravine Dr, Toronto, ON M3J 1B3",3 Beds2 Baths—Sq. Ft.
"$799,900","111 St Clair Ave W #319, Toronto, ON M4V 1N5",2 Beds2 Baths—Sq. Ft.
"$899,999","636 Evans Ave #65, Toronto, ON M8W 0A8",3 Beds2.5 Baths—Sq. Ft.
"$1,199,000","33 Parkway Ave, Toronto, ON M6R 1T6",5 Beds2 Baths—Sq. Ft.
"$699,000","48 Truro Cres, Toronto, ON M1V 2H8",3 Beds1.5 Baths—Sq. Ft.
"$599,000","3091 Dufferin St #411, Toronto, ON M6A 0C4",1 Bed1 Bath—Sq. Ft.
"$849,000","40 Sylvan Valleyway #504, Toronto, ON M5M 4M3",2 Beds2 Baths—Sq. Ft.
"$539,999","1420 DUPONT St Unit 309, Toronto, ON M6H 0C2",2 Beds2 Baths575 Sq. Ft.
"$2,500,000","374 Spadina Ave, Toronto, ON M5T 2G4","—Beds—Baths1,505 Sq. Ft."
"$674,900","17 Coneflower Cres #217, Toronto, ON M2R 0A5",2 Beds1.5 Baths—Sq. Ft.
"$658,000","151 Village Green Sq #2306, Toronto, ON M1S 0K5",2 + 1 Beds2 Baths—Sq. Ft.
"$999,900","26 Goswell Rd, Toronto, ON M9B 1W7",4 Beds2 Baths—Sq. Ft.
"$799,000","65 Osler St, Toronto, ON M6P 4A1",3 + 1 Beds1.5 Baths—Sq. Ft.
"$415,900","36 Lisgar St Unit 827E, Toronto, ON M6J 0C7",1 Bed1 Bath—Sq. Ft.
"$535,000","10 Gibbs Rd #1015, Toronto, ON M9B 0E2",1 Bed1 Bath—Sq. Ft.
"$1,399,000","175 Grandravine Dr, Toronto, ON M3J 1B6",3 + 1 Beds3 Baths—Sq. Ft.
"$1,699,000","1166 Bay St #2003, Toronto, ON M5S 2X8",2 Beds2 Baths—Sq. Ft.
"$1,088,000","3 Redcastle Cres, Toronto, ON M1T 1V2",4 Beds1.5 Baths—Sq. Ft.
"$599,900","18 Yonge St #1206, Toronto, ON M5E 1Z8",1 Bed1 Bath—Sq. Ft.
"$664,900","15 Maplewood Ave Ph 1, Toronto, ON M6C 4B4",1 + 1 Bed2 Baths—Sq. Ft.
"$1,650,000","230 Willow Ave, Toronto, ON M4E 3K7",3 + 1 Beds3 Baths—Sq. Ft.
"$2,880,000","1 Chedington Pl Unit 8D, Toronto, ON M4N 3R4",2 Beds3.5 Baths—Sq. Ft.
"$1,339,000","11 Rowallan Dr, Toronto, ON M1E 2Y5",4 + 1 Beds2.5 Baths—Sq. Ft.
"$4,399,950","71 Yorkview Dr, Toronto, ON M2R 1J7",4 + 1 Beds6.5 Baths—Sq. Ft.
"$2,195,000","495 Prince Edward Dr, Toronto, ON M8X 2M4",3 Beds3.5 Baths—Sq. Ft.
"$499,990","840 Queens Plate Dr #1310, Toronto, ON M9W 7J9",1 + 1 Bed2 Baths—Sq. Ft.
"$1,699,000","75 O'hara Ave, Toronto, ON M6K 2R3",4 + 1 Beds3 Baths—Sq. Ft.
"$1,049,000","15 Queens Quay E #1602, Toronto, ON M5E 0C5",2 Beds1 Bath—Sq. Ft.
"$1,368,000","107 Frederick Tisdale Dr, Toronto, ON M3K 1X1",5 + 1 Beds5.5 Baths—Sq. Ft.
"$699,999","10 Park Lawn Rd #3904, Toronto, ON M8Y 3H8",2 Beds2 Baths—Sq. Ft.
"$1,288,000","110 Clovelly Ave, Toronto, ON M6E 2E6",4 + 1 Beds5.5 Baths—Sq. Ft.
"$934,900","464 Rhodes Ave, Toronto, ON M4L 3A5",2 + 1 Beds2 Baths—Sq. Ft.
"$829,000","20 Minowan Miikan Lane #1118, Toronto, ON M6J 1M3",2 Beds2 Baths—Sq. Ft.
"$599,000","70 Distillery Lane #604, Toronto, ON M5A 0E3",1 Bed1 Bath—Sq. Ft.
